YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2018,5,30,1.4,32.7,24.5,79,1,90
2018,5,31,0,33.8,24.6,78,1,90
2018,6,1,1.4,33,25.5,77,2,90
2018,6,2,3,30,24.2,81,1,220
2018,6,3,0,33,24.5,78,1,340
2018,6,4,0,34.8,25.5,73,2,340
2018,6,5,19,32.4,23.5,88,1,340
2018,6,6,22.2,32.5,22.5,77,2,220
2018,6,7,13.6,29.9,22,83,3,220
2018,6,8,1,30.5,23.4,80,2,220
2018,6,9,7.6,31,24.4,81,2,200
2018,6,10,16.4,32.2,24.5,82,3,200
2018,6,11,0,32,25.5,75,3,200
2018,6,12,0,32.4,25.5,72,2,200
2018,6,13,0,33.8,25.6,75,2,200
2018,6,14,0,33,25,76,2,200
2018,6,15,2.2,33,23.7,77,2,200
2018,6,16,0,33.4,24.5,75,2,200
2018,6,17,0,33.5,25.5,76,1,220
2018,6,18,0,34,24.5,76,1,220
2018,6,19,0,33.2,26,77,1,270
2018,6,20,5.4,30.5,24.9,81,1,220
2018,6,21,-1,31,23.9,80,1,270
2018,6,22,11.7,30.4,23.4,84,1,250
2018,6,23,0,32,24,80,1,90
2018,6,24,0,31.6,23.5,77,1,110
2018,6,25,0.2,32.2,23,81,1,110
2018,6,26,0,31,23.5,80,1,180
2018,6,27,0.8,30.4,23.5,85,1,110
2018,6,28,0.8,32,23.5,78,1,270
2018,6,29,-1,32.8,24.5,74,1,220
2018,6,30,0,32.8,24.5,72,1,220
2018,7,1,0,32.6,24.5,73,2,200
2018,7,2,0,33.4,24.5,72,1,220
2018,7,3,0,32.2,25,75,1,250
2018,7,4,0,33.4,25,71,2,220
2018,7,5,0,31.8,24,75,2,220
2018,7,6,1.4,32,24.5,76,2,200
2018,7,7,28.9,31.4,23,87,1,180
2018,7,8,16.7,32.9,23.5,83,1,200
2018,7,9,1.2,30.9,24.2,81,2,220
2018,7,10,2.5,31.5,23.5,80,2,200
2018,7,11,5.3,32.9,23.5,77,1,220
2018,7,12,0.2,31.5,22.8,78,2,250
2018,7,13,0,32,23.8,78,2,220
